,restaurant,item,calories,protein,total_fat,total_carb,recipe_name,recipe_calories,recipe_protein,recipe_fat,recipe_carb,recipe_image
17,Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,45.0,34,79,Lemon Fresh Spaghetti with Garden Sauce & Pumpkin Flowers,812.0,31.0,24.0,111.0,https://spoonacular.com/recipeImages/1098240-312x231.jpg
18,Burger King,20 Piece Chicken Nuggets,950,51.0,55,50,Little Italy Burger,963.0,44.0,71.0,33.0,https://spoonacular.com/recipeImages/650181-312x231.jpg
19,Subway,Footlong Corned Beef Reuben,940,78.0,30,90,Light and Tasty Tomato Basil Mozzarella Pasta for a Hot Summer Evening,954.0,33.0,41.0,107.0,https://spoonacular.com/recipeImages/1697625-312x231.jpg
20,Mcdonalds,Single Bacon Smokehouse Burger,840,46.0,45,62,Pesto Veggie Pizza,826.0,32.0,37.0,85.0,https://spoonacular.com/recipeImages/655847-312x231.jpg
21,Sonic,Sonic Cheeseburger W/ Mayonnaise,800,35.0,54,44,Linguine with Clams - Linguine alle Vongole,832.0,25.0,31.0,87.0,https://spoonacular.com/recipeImages/1697601-312x231.jpg
22,Taco Bell,Spicy Triple Double Crunchwrap,780,23.0,38,87,Vietnamese Noodle Salad With Tofu,816.0,27.0,40.0,83.0,https://spoonacular.com/recipeImages/664835-312x231.jpg
23,Arbys,Half Pound French Dip & Swiss,750,55.0,36,51,Kaiserschmarrn,769.0,28.0,31.0,90.0,https://spoonacular.com/recipeImages/994607-312x231.jpg
24,Burger King,Mushroom & Swiss King,940,49.0,63,45,How to Upgrade a Simple BLT to Your Favorite Summer Lunch with These 2 Simple Tricks,916.0,17.0,74.0,42.0,https://spoonacular.com/recipeImages/1697785-312x231.jpg
25,Subway,Footlong Tuna,940,40.0,48,88,Extra Large Homemade Meatballs w Pasta,933.0,53.0,58.0,43.0,https://spoonacular.com/recipeImages/642502-312x231.jpg
26,Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,39.0,36,80,Fusilli With Eggplant & Sausage Chunks - Mediterranean Style Pasta,808.0,33.0,60.0,29.0,https://spoonacular.com/recipeImages/644102-312x231.jpg
27,Taco Bell,Fiesta Taco Salad-Beef,780,26.0,42,74,Coconut Rice and Carrot Sambal,760.0,10.0,40.0,83.0,https://spoonacular.com/recipeImages/639807-312x231.jpg
28,Sonic,Sonic Burger W/ Mayonnaise,740,31.0,48,44,Falafel Burgers,710.0,23.0,35.0,66.0,https://spoonacular.com/recipeImages/642540-312x231.jpg
